ref,total-cost,answer
question-mission59-agent4,708,no
question-mission80-agent0,108,yes
question-mission42-agent7,709,no
question-mission66-agent0,875,yes
question-mission45-agent7,220,no
question-mission81-agent0,108,yes
question-mission69-agent0,221,yes
question-mission5-agent0,249,yes
question-mission25-agent2,205,no
question-mission82-agent0,108,yes
question-mission52-agent7,225,no
question-mission11-agent0,203,yes
question-mission56-agent0,264,yes
question-mission83-agent1,844,no
question-mission79-agent0,307,yes
question-mission8-agent0,357,yes
question-mission34-agent1,194,no
question-mission84-agent0,108,yes
question-mission14-agent0,167,yes
question-mission48-agent6,170,no
question-mission12-agent0,206,yes
question-mission85-agent0,108,yes
question-mission26-agent0,173,yes
question-mission74-agent2,199,no
question-mission78-agent2,382,no
question-mission86-agent1,576,no
question-mission7-agent0,342,yes
question-mission32-agent0,304,yes
question-mission67-agent2,167,no
question-mission87-agent1,246,no
question-mission43-agent0,146,yes
question-mission3-agent3,173,no
question-mission58-agent4,280,no
question-mission88-agent1,366,no
question-mission41-agent0,257,yes
question-mission65-agent2,326,no
question-mission9-agent1,561,no
question-mission89-agent0,108,yes
question-mission23-agent0,207,yes
question-mission36-agent6,573,no
question-mission68-agent0,703,yes
question-mission90-agent1,2512,no
question-mission20-agent3,530,no
question-mission44-agent6,669,no
question-mission46-agent7,236,no
question-mission91-agent1,772,no
question-mission63-agent8,339,no
question-mission64-agent1,301,no
question-mission35-agent0,314,yes
question-mission92-agent0,108,yes
question-mission15-agent0,486,yes
question-mission31-agent6,403,no
question-mission57-agent0,222,yes
question-mission93-agent0,108,yes
question-mission47-agent6,223,no
question-mission6-agent1,276,no
question-mission24-agent0,324,yes
question-mission94-agent0,108,yes
question-mission37-agent0,314,yes
question-mission10-agent0,506,yes
question-mission13-agent0,393,yes
question-mission95-agent0,108,yes
question-mission75-agent0,335,yes
question-mission54-agent0,303,yes
